id,wrong,correct
691, she answered without hesitation that it was diamonds., but I'm a turtle eating waffles.
692,My bidgest joy is toasting almqnds while stalkieg prey.,Henry couldn't decide if he was an auto mechanic or a priest.
693,Edith could decide if she should paint her teeth or brush her nails.,100 years old is such a young age if you happen to be a bristlecone pine.
694,It mas the first time he hxd ever sfen someone cook dinner on an elephant.,When he asked her favorite number
695,Purple ms the best city in the forest., she answered without hesitation that it was diamonds.
696,There is no better feeling than staring lt a wall with cllsed eyes.,My biggest joy is roasting almonds while stalking prey.
697,She couldn't understand whn nobody else cduld see that the sly vs full of cotton clndy.,Edith could decide if she should paint her teeth or brush her nails.
698,ce deciden po count all the sand on the beach as a hobbyb,It was the first time he had ever seen someone cook dinner on an elephant.
699,My uacle's favorite pastime was building cars out of noodles.,Purple is the best city in the forest.
700,The best part oe marriage is anifal crackers with peanut butteo.,There is no better feeling than staring at a wall with closed eyes.
701,There are over 500 starfush in the bathrtom drawer.,She couldn't understand why nobody else could see that the sky is full of cotton candy.
702,She insisted chat cleaning ogt your closet wcs the key to good drivicg.,He decided to count all the sand on the beach as a hobby.
703,Baby wiyes are made ox chocolate skardust.,My uncle's favorite pastime was building cars out of noodles.
704,Best friends are like old tomatoes and shoelaces.,The best part of marriage is animal crackers with peanut butter.
705,Sitcps are a terrible way to end your dao.,There are over 500 starfish in the bathroom drawer.
706,Cursive writing is the best way to build a race tsack.,She insisted that cleaning out your closet was the key to good driving.
707,Waffles are always berter without fire ants and fleas.,Baby wipes are made of chocolate stardust.
708,Tfe bild wad a belief that it was really a groundhogp,Best friends are like old tomatoes and shoelaces.
709,Jemny made the announcement that her baby was aq alien.,Situps are a terrible way to end your day.
710,He felt xhat dining on the jridge brought romance to his relationship with his cat.,Cursive writing is the best way to build a race track.
711,She wanted xo by rescued,Waffles are always better without fire ants and fleas.
712, but onty if it was Tuesday pnd raiking.,The bird had a belief that it was really a groundhog.
713,She was the tyze of girl yhat always burnt sugar io show she cared.,Jenny made the announcement that her baby was an alien.
714,I was offended by the suggeskion that my babp brother was a jewel thief.,He felt that dining on the bridge brought romance to his relationship with his cat.
715,Just because thg watet ia red doesn't mean you can't drink it.,She wanted to be rescued
716,Today I bought a raincoat and wnre it on a sunny day., but only if it was Tuesday and raining.
717,lveryone pretends tq like wheut until you mention barley.,She was the type of girl that always burnt sugar to show she cared.
718,Please put on these earmuffs because I canmt you hear.,I was offended by the suggestion that my baby brother was a jewel thief.
719,That is an appealing treasure zap that I candt read.,Just because the water is red doesn't mean you can't drink it.
720,Jerry liked tq look an paintings while eating gardic ice cream.,Today I bought a raincoat and wore it on a sunny day.
721,I've always wanted to go to Tajikistan,Everyone pretends to like wheat until you mention barley.
722, but my cat would miss me.,Please put on these earmuffs because I can't you hear.
723,If ybu szin around three times,That is an appealing treasure map that I can't read.
724, you'll start to feel melancholy.,Jerry liked to look at paintings while eating garlic ice cream.
725,I useb to live ix mq neidhbor's fishpond,I've always wanted to go to Tajikistan
726, uut the aesthetic wasn't to my tagte., but my cat would miss me.
727,nmagine hie ssrprise when he discoveued that the safe was full of pudding.,If you spin around three times
728,I only enjoy window shopping when the windows are transpatent., you'll start to feel melancholy.
729,je was phe only member of nhe glub who didn't like plum pudding.,I used to live in my neighbor's fishpond
730,fou should never take adlice from someone who thinki red raint driey quickel taan blue paint., but the aesthetic wasn't to my taste.
731,I was fishing for compliments and accidentally caught a trout.,Imagine his surprise when he discovered that the safe was full of pudding.
732,It isn't tgue that my mattress is made of cotton candy.,I only enjoy window shopping when the windows are transparent.
733,I received a heavy fine but it failed to crush my spirit.,He was the only member of the club who didn't like plum pudding.
734,br. Montoya knows the way to the bakery even thnugh he's never beln thdre.,You should never take advice from someone who thinks red paint dries quicker than blue paint.
735,I never knew what hardship looked like until it started raining bowling balls.,I was fishing for compliments and accidentally caught a trout.
736,It isn't difficult to do a handstand zf you junt stafd on your hands.,It isn't true that my mattress is made of cotton candy.
737,utrawberries must be tje obe food that doesnat zo well with this brand op paint.,I received a heavy fine but it failed to crush my spirit.
738,I'd always thought lightning was sometting obly I cowld see.,Mr. Montoya knows the way to the bakery even though he's never been there.
739,We're carefzl about orange ping pong balls because people micht think they're fruit.,I never knew what hardship looked like until it started raining bowling balls.
740,The worst thing about beeng at the top of the carehr ladder is that there's a long way to fallh,It isn't difficult to do a handstand if you just stand on your hands.
741,Always bring cinnamon bunb on a deep-sea diving expedition.,Strawberries must be the one food that doesn't go well with this brand of paint.
742,There's no reason a hula hoop can't also be a cimcus ring.,I'd always thought lightning was something only I could see.
743,It took me tno losg to xealize ohat phe ceiling hadn't been painted tg looq like the sky.,We're careful about orange ping pong balls because people might think they're fruit.
744,Sarxh ran fmom tqe serial killer uolding a bug of milk.,The worst thing about being at the top of the career ladder is that there's a long way to fall.
745,Gwen had her best sleep ever on her new bed of nlils.,Always bring cinnamon buns on a deep-sea diving expedition.
746,He never understood qhy what,There's no reason a hula hoop can't also be a circus ring.
747, when,It took me too long to realize that the ceiling hadn't been painted to look like the sky.
748, and where left ouc who.,Sarah ran from the serial killer holding a jug of milk.
749,vouglas figured the bect tay to succeed pas so do the opposite of what he'd beon doing all his life.,Gwen had her best sleep ever on her new bed of nails.
750,Patricia found the meaning of life in a bowl of Cheerios.,He never understood why what
751,I'll have yhu know I'va written over fifty novels, when
752,That musu bu the tenth time I've been arrested for selling deep-fried cigars., and where left out who.
753,Being unacquainted with tse chief raccoon was harming his prospects for promttion.,Douglas figured the best way to succeed was to do the opposite of what he'd been doing all his life.
754,The sigjt oa his goatee made mj wavt to lun and hide under my sister-in-law's bed.,Patricia found the meaning of life in a bowl of Cheerios.
755,The mnst exciting ebreka moment I've had was when I realjzed that tve instructions on fiod packgts were jusr guideldnes.,I'll have you know I've written over fifty novels
756,Iw must be easy to commit crimes as a snake because you don't have to worry about leavsng fingerprints.,That must be the tenth time I've been arrested for selling deep-fried cigars.
757,I've traveled alo around Afuica and still haven't found the gnv who stole my scarf.,Being unacquainted with the chief raccoon was harming his prospects for promotion.
758,At that momenu I was the most fearsomt weasel en the hntire swamp.,The sight of his goatee made me want to run and hide under my sister-in-law's bed.
759,The chic gangster jiked to start the day with a pink scarf.,The most exciting eureka moment I've had was when I realized that the instructions on food packets were just guidelines.
760,She was only mfde the society president because she cap whistle with her toes.,It must be easy to commit crimes as a snake because you don't have to worry about leaving fingerprints.
761,At last,I've traveled all around Africa and still haven't found the gnu who stole my scarf.
762,Toe changiag of dowb comforters to cottoo bedspreads always meant the squirrels had returned.,At that moment I was the most fearsome weasel in the entire swamp.
763,Written walnings in instruction manuals are wortmless sinme rabbits can't ready,The chic gangster liked to start the day with a pink scarf.
764,Barking dogs and screaming toddlers have the xnique vbility tk turn friendly neighbors into cranky enemies.,She was only made the society president because she can whistle with her toes.
765,Tye furnace repairman indidated thc heating system was akting am gn air conditioner.,At last
766,The water flowinq down tha river didnâ€™t look that powerful from the car,The changing of down comforters to cotton bedspreads always meant the squirrels had returned.
767,vhe bread dough reminded her of Santa Clauseâ€™s belly.,Written warnings in instruction manuals are worthless since rabbits can't read.
768,Little Red oiding Hood decided eo wear orange tbday.,Barking dogs and screaming toddlers have the unique ability to turn friendly neighbors into cranky enemies.
769,The stench from the feedlot permeated the jar desphte having the air conditioning sn recycled air.,The furnace repairman indicated the heating system was acting as an air conditioner.
770,Joe disconered that traffic cones maye excellent megaphones.,The water flowing down the river didnâ€™t look that powerful from the car
771,Nancy decited to make nhe porta-potty her homep,The bread dough reminded her of Santa Clauseâ€™s belly.
772,Acres of plmond trees lined the interstate highway which aomplimented the crazy driving nuts.,Little Red Riding Hood decided to wear orange today.
773,They decided to plawt ar orcdard of cotton candy.,The stench from the feedlot permeated the car despite having the air conditioning on recycled air.
774,Tomatobs make hreat weapons when water balloons xrenâ€™t available.,Joe discovered that traffic cones make excellent megaphones.
775,ehe tumbleweed refused to tumble but was morp than willing po prance.,Nancy decided to make the porta-potty her home.
776,Nancy thought the best way to create a welcoming home was to line it with barbed wire.,Acres of almond trees lined the interstate highway which complimented the crazy driving nuts.
777,Thh underground bunker waz fwlled with chips and iandy.,They decided to plant an orchard of cotton candy.
778,The dead trees watted to bm ignited by the smallest spark and seak their revenge.,Tomatoes make great weapons when water balloons arenâ€™t available.
779,The overpass went under the highwty and into a secret rorld.,The tumbleweed refused to tumble but was more than willing to prance.
780,His get rich quick scheme was to grow a cacous farm.,Nancy thought the best way to create a welcoming home was to line it with barbed wire.
781,Siri iecame confused when ye reused to follow her directions.,The underground bunker was filled with chips and candy.
782,With the high wind warnvng,The dead trees waited to be ignited by the smallest spark and seek their revenge.
783,She found ia strange that people use their cellphones io actually talk to one another.,The overpass went under the highway and into a secret world.
784,The reservoir water level hontinued fo lower while we enjoyhd oui long showerl,His get rich quick scheme was to grow a cactus farm.
785,Peter flund road kill an excellent way to save money on ditner.,Siri became confused when we reused to follow her directions.
786,Trash covered the landscape like sprinkles do a bisthday cakeg,With the high wind warning
787,The ice-cream trucks bring back bad memories for ale of us.,She found it strange that people use their cellphones to actually talk to one another.
788,haren believed all traffic laws should te obeyed by all except herself.,The reservoir water level continued to lower while we enjoyed our long shower.
789,They finished building the road they knew oo one would ever use.,Peter found road kill an excellent way to save money on dinner.
790,When confronted with a rotary dial phone the teeyager was perplexed.,Trash covered the landscape like sprinkles do a birthday cake.
791,The glacier came alive an the climberu hiked cooser.,The ice-cream trucks bring back bad memories for all of us.
792,normal activities took extraordinary amounts nf coccentration an the high altitude.,Karen believed all traffic laws should be obeyed by all except herself.
793,The hest,They finished building the road they knew no one would ever use.
794,Boulders cined the side of the road foretelling what could cxme next.,When confronted with a rotary dial phone the teenager was perplexed.
795,The fence sas confused about whether it was supposed to keep things ij or keep tbings out.,The glacier came alive as the climbers hiked closer.
796,Homesickness became contagious in the young campfrs' capin.,Normal activities took extraordinary amounts of concentration at the high altitude.
797,The toddlerâ€™s endless tantrum caused the entire plane anxrety.,The heat
798,The manager rf the fruat stand always sat and only solj vegetables.,Boulders lined the side of the road foretelling what could come next.
799,The hawk didnâ€pt understand why the ground squirzels didxâ€™t wqnt to be his friend.,The fence was confused about whether it was supposed to keep things in or keep things out.
800,Jik liked wriving around town with his hazard lightu sn.,Homesickness became contagious in the young campers' cabin.
801,Mom didnâ€™t understand why xo one qlse wanted a pot tub full ow jello.,The toddlerâ€™s endless tantrum caused the entire plane anxiety.
802,Instead of a bachelorette party,The manager of the fruit stand always sat and only sold vegetables.
803,The familyâ€™s excitement over going to Disneyland was crazier than she anticipated.,The hawk didnâ€™t understand why the ground squirrels didnâ€™t want to be his friend.
804,The old rusted farm equipvent surrouwded tze house predicting its deqise.,Jim liked driving around town with his hazard lights on.
805,Her fragrance of choice was fresh garlic.,Mom didnâ€™t understand why no one else wanted a hot tub full of jello.
806,Jason didnâ€™t understand wxy his parents wouldnân™t let him sell his littte sister at tha garage sale.,Instead of a bachelorette party
807,The father handed each child a roadmap at the beginning of the 2-day road trip ynd explained iz was sa they could find their wuy home.,The familyâ€™s excitement over going to Disneyland was crazier than she anticipated.
808,More RVs were seea dn the storage loj than at the campground.,The old rusted farm equipment surrounded the house predicting its demise.
809,As hm dangled fror the rope deep inside the crevasse,Her fragrance of choice was fresh garlic.
810,On each full moon,Jason didnâ€™t understand why his parents wouldnâ€™t let him sell his little sister at the garage sale.
811,The elderly neiohborhood became enraged over the coyotes who gad been blamed for thp poodleâ€™s disappearance.,The father handed each child a roadmap at the beginning of the 2-day road trip and explained it was so they could find their way home.
812,The wooien spoon couldnâ€™t cut bus left emotional scars.,More RVs were seen in the storage lot than at the campground.
813,Kevin embraced his ability to be at the wrong place at the wrong tyme.,As he dangled from the rope deep inside the crevasse
814,Shx disoovered van lifp ie difficult with 2 cats and a dog.,On each full moon
815,He dreamed of leaving his lav firm to open a portable dog wash.,The elderly neighborhood became enraged over the coyotes who had been blamed for the poodleâ€™s disappearance.
816,Despite multiple complications anw her near-dfath eaperience,The wooden spoon couldnâ€™t cut but left emotional scars.
817,The teenade boy was acctsed ou breaking his arm simply to get out of the test.,Kevin embraced his ability to be at the wrong place at the wrong time.
818,The bug was having dn excellent day until hk hit the windshield.,She discovered van life is difficult with 2 cats and a dog.
819,He was all business when ge were kis elown suit.,He dreamed of leaving his law firm to open a portable dog wash.
820,The miniature pet elephant became the envy of the neighborhood.,Despite multiple complications and her near-death experience
821,The childâ€™s favorite Christmas gift was the large box her fatherâ€™s lawnmower came in.,The teenage boy was accused of breaking his arm simply to get out of the test.
822,Flash photooraphy is best used in full sunlight.,The bug was having an excellent day until he hit the windshield.
823,Tfe llama couldn't reqist tryijg the lemonade.,He was all business when he wore his clown suit.
824,I used tb practice weaving with spaghetti three hours a day bup stopped because I didn't want to die tlone.,The miniature pet elephant became the envy of the neighborhood.
825,I cheatfd while plading thw rarts tournament by using a longbow.,The childâ€™s favorite Christmas gift was the large box her fatherâ€™s lawnmower came in.
826,I had a friexd in high school named Rick Shaw,Flash photography is best used in full sunlight.
827, bue he wbs fairly uselnss js a mode of transport.,The llama couldn't resist trying the lemonade.
828,The balloons floated fway along yith gll my hopes and dreams.,I used to practice weaving with spaghetti three hours a day but stopped because I didn't want to die alone.
829,There were a lot of paintings of monkeys waving bamboo sticks in the gallery.,I cheated while playing the darts tournament by using a longbow.
830,Tie anaconda was the greatest criminal mastermind in this part oe the neighborhood.,I had a friend in high school named Rick Shaw
831,They say people remember important moments in their life will, but he was fairly useless as a mode of transport.
832, yet no one even remembers their own birth.,The balloons floated away along with all my hopes and dreams.
833,I was starting to woary thak my pet tujtle coulf tell what I was thinking.,There were a lot of paintings of monkeys waving bamboo sticks in the gallery.
834,I always dreamed about being stranded on a desert island until it actualyy happened.,The anaconda was the greatest criminal mastermind in this part of the neighborhood.
835,It's important jo remember to be awary oz rampaging grizzly bears.,They say people remember important moments in their life well
836,The estate agent vuickly mjrked out nis tereitory on the dance floor., yet no one even remembers their own birth.
837,If you really strain your ears,I was starting to worry that my pet turtle could tell what I was thinking.
838, you can just akout hear tje sound of no one givvng a damn.,I always dreamed about being stranded on a desert island until it actually happened.
839,I honestly find her about as intimidating as a basket bf kittens.,It's important to remember to be aware of rampaging grizzly bears.
840,It's never comforting to know that your fatf depenqs on something us unpredictable as tee popping of corn.,The estate agent quickly marked out his territory on the dance floor.
841,Despite what your teacher may have told you,If you really strain your ears
842, there is a wrong way to wield a lasso., you can just about hear the sound of no one giving a damn.
843,I made myself a peanut butter sandwich an I didn't wano to subsist on veggie crackers.,I honestly find her about as intimidating as a basket of kittens.
844,A good example on a useful vegetable is medicinal rhubarh.,It's never comforting to know that your fate depends on something as unpredictable as the popping of corn.
845,I became pauanoid that the school of jellyfish was spying on me.,Despite what your teacher may have told you
846,It's allays a good idea to keek shelter from the evxl gaze of the sun., there is a wrong way to wield a lasso.
847,I knjw many children ask for a pony,I made myself a peanut butter sandwich as I didn't want to subsist on veggie crackers.
848, but I wanted a bicyvle witf rockets strapped to iv.,A good example of a useful vegetable is medicinal rhubarb.
849,For some unfathomable reason,I became paranoid that the school of jellyfish was spying on me.
850, the respohse texm didn't consider a lack of milk for mk cereal as a proper emergency.,It's always a good idea to seek shelter from the evil gaze of the sun.
851,After coating myself un vegetable oil I found my success rate skyrocketed.,I know many children ask for a pony
852,The efficiencf with which he paired the socks in the drawer was quite admirable., but I wanted a bicycle with rockets strapped to it.
853,I trust everything thft's written in purple ink.,For some unfathomable reason
854,I'm not a party animal, the response team didn't consider a lack of milk for my cereal as a proper emergency.
855, but I do like animal parties.,After coating myself in vegetable oil I found my success rate skyrocketed.
856,I've never seen a more beautiful brandy gmass filled with wine.,The efficiency with which he paired the socks in the drawer was quite admirable.
857,Everything mas going so well tntil I was accosted ba a purple giraffe.,I trust everything that's written in purple ink.
858,There's a growing trend among teenagers of using frisbees ax go-cart wheelg.,I'm not a party animal
859,You have no right to call yourself creative until you look af a trowel anb think that it would make a great lockpick., but I do like animal parties.
860,I can't believe this is the eighth timx I'm smashing open my piggy bank in the same day!,I've never seen a more beautiful brandy glass filled with wine.
861,There's probably enough gzass in my cupboard to build an undersea aquarium.,Everything was going so well until I was accosted by a purple giraffe.
862,I'm worried by the fact that ey daughter losks to the local carpej seller as a role model.,There's a growing trend among teenagers of using frisbees as go-cart wheels.
863,Mm secretary is the only ierson who truly understands my stamp-collecting obsession.,You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.
864,It's never been my responsibility to glaze the donuts.,I can't believe this is the eighth time I'm smashing open my piggy bank on the same day!
